Area Searched,Job Title,Company,location,Salary,Summary
New+York,Sales Engineer,SoftInWay Inc.,"New York, NY",Nothing_found,"Establish new accounts by performing sales and lead generation calls in the targeted business region.
Identify service requirements by establishing personal…"
Chicago%2CIL,Postdoctoral Appointee – Engineering Modeling,Argonne National Laboratory,"Lemont, IL 60439",Nothing_found,"Employment Category: Temporary 6 Months or Greater Education Required: Doctorate Degree.
Level (Grade): 700 Shift: 8:30 - 5:00."
San+Francisco,Product Quality Engineer Electronic/Electrical Assembly and Circuit Card Assembly,Joby Aviation,"San Carlos, CA 94070",Nothing_found,"Basic knowledge of aerospace reliability, maintainability, and risk management, including key terms and definitions, modeling, systems design, assessment tools…"
Austin,SR. RESEARCH ENGINEER - SPACE AVIONICS,Southwest Research Institute,"Austin, TX 78759 (North Shoal Creek area)",Nothing_found,"Collaborate with electrical design engineers to help them select appropriate parts given project requirements, schedule and cost limitations."
Seattle,"Manufacturing Engineer, Solar (Starlink)",SpaceX,"Redmond, WA 98052 (SE Redmond area)",Nothing_found,"Hands-on engineer with a passion for continuous improvement and building the best hardware.
Bachelor's degree in electrical, mechanical, aerospace, or…"
Los+Angeles,Aerodynamics Engineer,Tesla,"Hawthorne, CA",Nothing_found,"Unrivaled range, ludicrous performance, top-of-the-line comfort and long-term reliability depend on delivering exterior designs that are as aesthetically…"
Philadelphia,Manufacturing Engineer,AgustaWestland Philadelphia Corporation,"Philadelphia, PA 19114",Nothing_found,"Prepare and Maintain production documentation in compliance with Design Requirements, Quality Manual and Regulatory Authorities."
Atlanta,Project Engineer,HEICO,"College Park, GA 30349",Nothing_found,"Knowledge of aerospace materials and coatings is preferred.
3-7 years aerospace / mechanical design experience."
Dallas,"Sr Reliability Engineer / Aerospace / Grand Prairie, TX",Lockheed Martin,Near Dallas,Nothing_found,"Candidate will spend majority of time working in a team environment, providing inputs to engineers, performing analyses, and writing reports."
Pittsburgh,"Senior Research Engineer/Scientist, Perception- Radar",Motional,"Pittsburgh, PA",Nothing_found,"Experience working on robot and/or automotive and/or aerospace.
We are seeking a talented Senior Research Engineer/Scientist, Perception- Radar with hands-on…"
Portland,Eaton Co-Op Program: Engineering (Spring 2021),Eaton,"Wilsonville, OR",Nothing_found,"Eaton’s Spring Co-Op Program is for students pursuing a degree in electrical, mechanical, industrial, or industrial & systems, aerospace or aeronautical…"
Phoenix,Advanced Systems Engineer,Honeywell,"Phoenix, AZ 85034 (Central City area)",Nothing_found,"You will be integral in creating system solutions that meet the evolving needs of our customers.
You will be involved in every aspect of the systems life cycle;…"
Denver,Technical Intern - Thermal Engineer,Ball Aerospace,"Boulder, CO 80301",Nothing_found,"Assist thermal engineers in spacecraft and/or instrument component thermal design, analysis, hardware testing, and/or laboratory research."
Houston,Thermal & Fluids Analyst,Paragon Space Development Corporation,"Houston, TX 77058 (Pasadena area)",Nothing_found,"NASA or other aerospace development projects.
The Thermal & Fluid Analyst will interface with subsystem design leads and other subsystem analysts/engineers,…"
Miami,Wheels Tires and Brakes System Engineer - Staff Level,Cirrus Aircraft,Near Miami,Nothing_found,"Perform peer review of the work of other engineers.
Design, coordinate, develop, and execute the requirements, architecture layout, development, integration,…"
Washington+DC,Spacecraft Bus C&DH Subsystems Operations Engineer,ASRC Federal Holding Company,"Suitland, MD 20746",Nothing_found,"The bus subsystems engineer will participate in the operational validation of spacecraft subsystems, including interface tests, end-to-end tests and mission…"
Boulder,Systems Engineer II - Aerospace and Computational Fluid Dynamics,Sierra Nevada Corporation,"Louisville, CO 80027",Nothing_found,"Strong background in flow physics as it relates to aerospace or aeronautics.
Strong interpersonal skills, position will require interfacing many engineers from…"
